企業名,納品URL
ハミューレ株式会社,https://casual-interview-dev.brainverse-ai.com/hamure
宇津商事株式会社,https://casual-interview-dev.brainverse-ai.com/utsu-corp
株式会社スイート・ピア,https://casual-interview-dev.brainverse-ai.com/sweetpea-net
オリジン工業株式会社,https://casual-interview-dev.brainverse-ai.com/oin
株式会社日産サティオ富山,https://casual-interview-dev.brainverse-ai.com/ns-toyama-nissan
松文産業株式会社,https://casual-interview-dev.brainverse-ai.com/matsubun
三信住建株式会社,https://casual-interview-dev.brainverse-ai.com/sanshinjyuken
タカノフーズ株式会社,https://casual-interview-dev.brainverse-ai.com/takanofoods
住商レジデンシャル株式会社,https://casual-interview-dev.brainverse-ai.com/sumisho-resi
プライムナンバーズ株式会社,https://casual-interview-dev.brainverse-ai.com/primenumbers
株式会社日本デリカサービス,https://casual-interview-dev.brainverse-ai.com/nippon-delica
株式会社ハイシンクジャパン,https://casual-interview-dev.brainverse-ai.com/jhcc
株式会社サンカツ,https://casual-interview-dev.brainverse-ai.com/ajiko-bo
株式会社カシックス,https://casual-interview-dev.brainverse-ai.com/kasix
株式会社Rezard,https://casual-interview-dev.brainverse-ai.com/rezard-co
茨城トヨタ自動車株式会社,https://casual-interview-dev.brainverse-ai.com/ibaraki-toyota
株式会社マーストーケンソリューション,https://casual-interview-dev.brainverse-ai.com/mars-tohken
冨士機材株式会社,https://casual-interview-dev.brainverse-ai.com/fujikizai-g
川崎信用金庫,https://casual-interview-dev.brainverse-ai.com/kawashin
レジェンダ・コーポレーション株式会社,https://casual-interview-dev.brainverse-ai.com/leggenda
西武建設株式会社,https://casual-interview-dev.brainverse-ai.com/seibu-const
株式会社デザインネットワーク,https://casual-interview-dev.brainverse-ai.com/design-network
一般財団法人ボーケン品質評価機構,https://casual-interview-dev.brainverse-ai.com/boken
株式会社アーベルソフト,https://casual-interview-dev.brainverse-ai.com/abelsoft
株式会社ナガオ,https://casual-interview-dev.brainverse-ai.com/nagao-group
株式会社アクセル・モード,https://casual-interview-dev.brainverse-ai.com/axcel-mode
株式会社ホンダカーズ久喜,https://casual-interview-dev.brainverse-ai.com/hondacars-kuki
アオイ環境株式会社,https://casual-interview-dev.brainverse-ai.com/aoikankyo
レキオスソフト株式会社,https://casual-interview-dev.brainverse-ai.com/lequiossoft
株式会社グラノプト,https://casual-interview-dev.brainverse-ai.com/granopt
